rain hellfire upon someone	相手に猛烈な報復・攻撃を加える（首相の演説での過激な決め台詞、番組内で何度も引用される）	If this was Tehran, I will rain hellfire upon them.	それがテヘランの仕業なら、奴らに地獄の業火を降らせてやる。
hinge on something	（結果が）～にかかっている、～次第である	A lot hinges on whether we believe this is Iran.	多くのことは、これがイランの仕業だと我々が信じるかどうかにかかっている。
a burner	足がつかないよう使い捨てにする携帯電話（諜報・裏工作がらみのスラング。ハルがひそかに使った携帯を指す）	There was a call the day of the approach on a burner.	接触があった日に、使い捨て携帯から電話があった。
call off a hit	（暗殺などの計画を）中止させる	They kidnapped my husband and called off a hit.	彼らは夫を誘拐し、暗殺を中止させた。
walk back something	（発言・立場などを）撤回する	Ambassador, Number 10 will walk back nothing.	大使、首相官邸は何一つ撤回しません。
like a bad penny	（嫌でも）何度も現れる、腐れ縁のように戻ってくる	And you. Like a bad fucking penny.	そしてお前もだ。腐れ縁みたいにまた現れたな。
the necessary	お手洗い、トイレ（古風で上品な婉曲表現。豪邸の使用人が使う言い回し）	Sharon? Where's the necessary?	シャロン？お手洗いはどこ？
press avail(ability)	記者向けの短いぶら下がり取材対応（外交・広報用語）	Cancel the press avail.	ぶら下がり取材は中止だ。
get the bump of a lifetime	（支持率などが）生涯最高の跳ね上がりを見せる	"Hellfire on Tehran" got Nicol Trowbridge the bump of a lifetime.	「テヘランに地獄の業火を」発言で、トロウブリッジの支持率は生涯最高に跳ね上がった。
pinned like a butterfly	標本のピンで刺された蝶のように身動きが取れず、さらけ出された状態	You're gonna be pinned like a butterfly while the PM is quoting Leviticus.	首相が聖書を引用している間、あなたは蝶の標本みたいに身動きが取れなくなる。
a pull-aside	国際会議などの合間に行う非公式な短い個別会談（外交用語。番組では「誘拐」呼ばわりされることを嫌って多用される言い方）	So, first of all, it was a pull-aside.	まず第一に、あれは非公式な個別会談だった。
stick one's neck out	危険を承知で行動する、自ら危険を引き受ける	He stuck his neck on the line and his wife's and kids'.	彼は自分だけでなく妻と子供たちの命まで危険にさらした。
move the needle	事態・状況に目に見える変化・影響を与える	She told the foreign secretary. -Didn't move the needle.	彼女は外務大臣に伝えた。-それでも状況は何も変わらなかった。
hold a grudge	恨みを抱き続ける	I swear, that man can hold a grudge.	誓って言うが、あの男は本当に根に持つタイプだ。
off the rails	制御不能な状態、常軌を逸した	The prime minister is off the rails.	首相はもう制御不能な状態だ。
dispense with someone	（手短に済ませて）片付ける、なしで済ませる	If I knew we could have you in and dispense with you an hour later, we'd have done it all the time.	呼んで1時間で切り上げられると分かっていたら、もっと頻繁にやっていたのに。
gild the lily	すでに十分立派なものに余計な装飾を加える	The press availability might be gilding the lily.	記者対応は、やり過ぎ（蛇足）かもしれない。
call it square	お互い様ということにする、貸し借りなしにする	Perhaps we call it square.	それでお互い様ということにしましょう。
shade a comment	（発言などを）やわらげる、微妙に修正する	He's had two days to shade that comment.	彼にはその発言を和らげる時間が2日あった。
have a ring to it	（言葉などが）耳に心地よく響く、様になる	It has a ring.	響きがいいね。
confer	話し合う、相談する（やや堅い語）	How about a couch, conferring in the sitting room after lunch?	昼食後、居間のソファで話し合うというのはどうだ？
horse-trading	互いに譲歩し合う駆け引き（政治・交渉のスラング）	They're still horse-trading.	彼らはまだ駆け引きをしている。
tuck in	（食事を）食べ始める（イギリス英語のくだけた表現）	I think we should tuck in.	そろそろ食べ始めましょうか。
shoot the shit	気軽に雑談する（下品めのくだけた表現）	Shooting the shit with Nicol fucking Trickle?	あのクソ野郎トロウブリッジと雑談するのか？
a back channel	非公式な裏ルート、水面下の連絡経路	A human source on a well-established back channel.	確立された裏ルートを通じた人的情報源。
hold water	（話・理屈が）筋が通る、説得力がある	It'd be great if it held water.	それで筋が通ってくれればいいのだが。
interlocutor	対話・交渉の相手（やや堅い語）	Write down every word of your conversation with the deputy minister and his interlocutor.	次官とその対話相手との会話を一言一句書き出してくれ。
schoolmarm glower	昔ながらの厳格な女教師のような、とがめるような険しい目つき	He call you that when you've deployed your schoolmarm glower?	君が厳格な女教師みたいな目つきをした時に、彼はそう呼ぶのか？
neocon / isolationist	ネオコン（新保守主義者）／孤立主義者（アメリカ政治のスタンスを表す用語）	He was a neocon in '03. Now he's an isolationist.	彼は03年にはネオコンだった。今は孤立主義者だ。
sanctimony	偽善的な道徳ぶり、自己満足的な正義面	Right, it's the perfect time for American sanctimony.	そうだ、アメリカ流の偽善的な正義面を見せる絶好のタイミングだ。
sidle up to someone	こっそりと近づく	If we were home, they could sidle up with an AR-15.	本国だったら、AR-15を持ってそっと近づいてくることもある。
lose one's shit	我を忘れて激怒する（下品な口語表現）	The secretary of defense is gonna lose his shit.	国防長官はブチ切れるぞ。
keep a lid on something	（情報などを）秘密にしておく、抑え込む	We tried to keep a lid on it.	我々はそれを秘密にしておこうとした。
put it together	（断片的な情報から）事情を察する、真相に気づく	Some relentless ferret from The Wall Street Journal is putting it together.	ウォール・ストリート・ジャーナルのしつこい記者が真相に気づきつつある。
ornery	気難しい、へそ曲がりの	It's something that makes the president extremely ornery.	それは大統領をひどく気難しくさせることだ。
cut out for something	（性格・能力的に）～に向いている	You're not cut out for campaigning, clearly.	あなたは明らかに選挙運動には向いていない。
pull something off	（難しいことを）やってのける	Governing is something you've managed to pull off under live artillery fire.	統治というのは、実弾が飛び交う中でもあなたがやってのけてきたことだ。
a lame duck	任期満了間近で影響力を失った政治家・政権	To help a lame-duck legacy-build overseas.	レームダック（死に体）状態の大統領が海外で実績づくりをするのを手伝う。
up someone's ass about something	（人に）しつこく干渉する、口を出す	Why was the ambassador 14 inches up my ass about vetting a tip?	なぜ大使は、その情報の裏取りについて僕にあれほどうるさく口を出してきたんだ？
keep something from someone	（人に）～を隠す	So now MI6 wants to know why I'm keeping things from them.	だからMI6は、なぜ私が情報を隠しているのか知りたがっている。
nosy	詮索好きな、おせっかいな	You acted like I was the nosy neighbor.	あなたは私をまるで詮索好きな隣人みたいに扱った。
pick a horse	（複数の選択肢から）一つに決める、肩入れする相手を選ぶ	At some point, you gotta pick a horse.	どこかで、どちらか一方に決めなきゃいけない。
bric-a-brac	がらくた、雑多な小物（骨董的な小物。大統領のつぶやきの謎めいた一言として登場）	Find out what bric-a-brac means.	「bric-a-brac」が何を意味するのか調べてくれ。
sell itself	（良さが）自然と伝わる、説明不要なほど魅力的である	It's supposed to sell itself.	それは説明しなくても、それ自体で人を惹きつけるはずのものだ。
debacle	大失敗、惨事	After this debacle?	この大失態のあとで？
de-escalate something	（緊張・対立を）沈静化させる	Your story is the best tool we have to de-escalate a situation.	あなたの話は、事態を沈静化させるための最良の材料だ。
spin out of control	制御不能な状態に陥る	A situation that is quickly spinning out of control.	急速に制御不能になりつつある状況。
a 951 violation	無届けで外国のために活動した罪（米国の外国代理人登録法関連の違反、法律用語）	It's a 951 violation, and they can put you away for ten years.	それは無届け外国代理人活動の法律違反で、10年間投獄されることもあり得る。
the clandestine services	諜報機関の秘密工作部門	You aren't a member of the clandestine services.	あなたは諜報機関の秘密工作員ではない。
a tandem couple	夫婦そろって外交官（同じ組織・海外任務）を務める夫婦（外交界特有の用語）	Being a tandem couple has fucked both of them.	夫婦そろって外交官をやっていることが、二人共の人生を狂わせてきた。
frontline material	最前線で活躍するのにふさわしい人材	Why is she here? She's frontline material.	なぜ彼女がここに？最前線向きの人材なのに。
can't afford to piss someone off	（人）を怒らせるわけにはいかない	We can't afford to piss them off.	彼らを怒らせるわけにはいかない。
time-sensitive	緊急性が高い、時間的制約のある	Says it's time-sensitive.	時間的制約が大きい件だと言っている。
weigh in	（議論・状況に）意見を述べる、加わる	Find me when NSA weighs in.	NSAが意見を出したら私に知らせて。
play someone	（人を）だます、うまく操る	Trowbridge played him. He lied to his face.	トロウブリッジは彼を欺いた。面と向かって嘘をついたんだ。
buzz something	（軍用機・軍艦などが）威嚇的に接近する	He wants the visual of American warships buzzing Iran.	彼はアメリカの軍艦がイランに威嚇的に近づく映像がほしいのだ。
renege on something	（約束などを）反故にする	He won't renege on a rescue mission.	彼は救助任務を反故にはしないだろう。
the great Satan	「大悪魔」（イラン側がアメリカを指して使う呼称。ハルとシャヒンの関係性を示す文脈で言及される）	And inexplicably, he doesn't believe we're the great Satan.	不思議なことに、彼は我々を「大悪魔」だとは思っていない。
a flimsy web of relationships	もろく脆弱な人間関係の網（国家間の非公式なつながりを指す比喩）	It is a flimsy web of relationships. But sometimes it holds.	それはもろい人間関係の網だ。だが時にそれが持ちこたえる。
ravenous	貪欲な、飢えたような（比喩的に強欲さを表す）	Do not be an infinitely ravenous American.	どこまでも貪欲なアメリカ人になるな。
out of the woods	危機を脱して、困難を乗り越えて	Can we get the president out of the woods?	大統領を窮地から救い出せるか？
check someone out	（人を）値踏みする、見定める	He's checking you out.	彼はあなたを見定めているのよ。
melt on a campaign trail	（プレッシャーに）押しつぶされる、へこたれる	You'd melt on a campaign trail.	あなたなら選挙戦であっという間に潰れてしまうでしょうね。
hand the baton to someone	（役割・責任を）引き継がせる（リレー競技の「バトンを渡す」から）	Where an elderly guy could hand the baton to an electable woman.	高齢の男性が、当選できそうな女性にバトンを渡せるように。
baggage	（政治的に不利になる）過去の経歴・しがらみ	Now you want someone with no voting record, no baggage, no opinions.	今度は投票歴もしがらみも意見もない人物がほしいというわけね。
