get away with	（罰を受けずに）やり過ごす	He got away with it again.	彼はまた何のとがめもなく済ませた。
turn down	断る・音量を下げる	She turned down the offer.	彼女はその申し出を断った。
fall apart	決裂する・ばらばらになる	The negotiation fell apart.	交渉は決裂した。
keep an eye on	見張る・気にかけておく	Keep an eye on the shipment.	その荷物を見ておいてくれ。
put up with	我慢する	I can't put up with this noise.	この騒音には我慢できない。
negotiation	交渉	The negotiation lasted three days.	交渉は三日続いた。
shipment	出荷・積み荷	The shipment arrived late.	積み荷は遅れて届いた。
nonsense	たわごと・ばかげたこと	Don't talk nonsense.	ばかなことを言うな。
at the last minute	土壇場で	He canceled at the last minute.	彼は土壇場で取りやめた。
second thought	考え直し	She agreed without a second thought.	彼女は迷わず承知した。
forever	永遠に・ずっと	This can't go on forever.	これがずっと続くはずがない。
offer	申し出・提案	They made a generous offer.	彼らは気前のよい提案をした。
